shipment_id,order_id,shipment_date,estimated_arrival,actual_arrival,origin_city,origin_country,destination_city,destination_country,carrier_name,shipping_mode,weight_kg,volume_cbm,shipping_cost_usd,insurance_cost_usd,customs_clearance_days,shipment_status,damage_flag,temperature_controlled
SHP00016,PO00964,2024-11-02,2024-11-18,2024-11-19,Istanbul,Turkey,Jeddah,Saudi Arabia,DHL Global,Rail,3301.5,11.33,9695.03,604.78,2,Delivered,0,0
SHP00017,PO01506,2024-01-17,2024-02-10,2024-02-13,Riyadh,Saudi Arabia,Dammam,Saudi Arabia,FedEx,Sea Freight,2088.4,6.28,2009.18,68.48,5,Delivered,0,1
SHP00018,PO00205,2024-01-31,2024-02-11,2024-02-11,Shanghai,China,Madinah,Saudi Arabia,DB Schenker,Air Freight,3363.5,11.86,3004.8,110.49,5,Delivered,0,0
SHP00019,PO00719,2024-06-30,2024-07-05,2024-07-05,Muscat,Oman,Madinah,Saudi Arabia,DHL Global,Road Transport,2111.8,10.31,4290.59,234.08,1,Delivered,0,0
SHP00020,PO01270,2024-09-28,2024-10-06,2024-10-06,Muscat,Oman,Madinah,Saudi Arabia,Aramex,Road Transport,4201.9,12.07,9290.16,533.4,2,Delivered,0,1
SHP00021,PO01598,2023-09-12,2023-10-04,2023-10-04,Cairo,Egypt,Riyadh,Saudi Arabia,DB Schenker,Air Freight,3759.3,13.99,3528.37,204.82,2,Delivered,0,0
SHP00022,PO01195,2023-07-27,2023-08-17,2023-08-17,Mumbai,India,Madinah,Saudi Arabia,Saudi Post Logistics,Air Freight,1197.0,5.28,2300.28,58.82,1,Delivered,0,0
SHP00023,PO01247,2024-05-20,2024-06-10,2024-06-11,Kuala Lumpur,Malaysia,Madinah,Saudi Arabia,Aramex,Road Transport,3285.8,10.21,4058.42,173.35,2,Delivered,0,0
SHP00024,PO00413,2023-12-28,2024-01-16,2024-01-21,Kuala Lumpur,Malaysia,Dammam,Saudi Arabia,DB Schenker,Air Freight,2389.6,14.01,6912.31,356.73,6,Customs Hold,0,0
SHP00025,PO00891,2023-09-18,2023-09-25,2023-09-27,Shanghai,China,Dammam,Saudi Arabia,Aramex,Rail,4721.7,13.93,8906.13,361.69,7,Delivered,0,1
SHP00026,PO01183,2024-09-07,2024-09-26,2024-09-29,Istanbul,Turkey,Dammam,Saudi Arabia,Saudi Post Logistics,Express Courier,1396.3,4.02,2372.33,137.34,0,Delivered,0,1
SHP00027,PO01790,2024-03-12,2024-03-24,2024-03-24,Dammam,Saudi Arabia,Dubai,UAE,NAQEL Express,Rail,1674.3,8.3,1358.7,71.97,3,Delivered,0,0
SHP00028,PO00697,2024-11-26,2024-12-15,2024-12-15,Cairo,Egypt,Dammam,Saudi Arabia,DB Schenker,Road Transport,3710.9,13.64,5584.58,238.11,6,Delivered,0,0
SHP00029,PO00529,2024-05-01,2024-05-16,2024-05-16,Kuala Lumpur,Malaysia,Dubai,UAE,Maersk Line,Rail,2942.0,17.62,3389.64,157.34,1,Delivered,1,0
SHP00030,PO01073,2023-04-05,2023-04-10,2023-04-10,Amman,Jordan,Dammam,Saudi Arabia,Saudi Post Logistics,Rail,2189.1,10.17,4666.17,114.76,6,Delayed,0,0
SHP00031,PO01357,2024-11-17,2024-12-07,2024-12-07,Munich,Germany,Dammam,Saudi Arabia,DB Schenker,Air Freight,4849.8,21.69,13186.51,1041.77,5,Delivered,1,1
SHP00032,PO00664,2024-07-29,2024-08-13,2024-08-15,Riyadh,Saudi Arabia,Riyadh,Saudi Arabia,FedEx,Rail,1748.6,10.99,4480.02,291.04,4,Customs Hold,0,0
SHP00033,PO00966,2023-07-25,2023-08-14,2023-08-15,Mumbai,India,Madinah,Saudi Arabia,DHL Global,Road Transport,4796.9,15.04,6361.15,501.39,3,Delivered,0,1
SHP00034,PO00877,2023-11-06,2023-11-20,2023-11-28,Shanghai,China,Madinah,Saudi Arabia,DHL Global,Rail,3814.9,19.09,8076.38,439.18,6,Customs Hold,0,0
SHP00035,PO00402,2023-07-07,2023-07-20,2023-07-21,Milan,Italy,Dammam,Saudi Arabia,DHL Global,Sea Freight,3860.4,12.06,3293.91,174.43,6,Delivered,0,1
SHP00036,PO01329,2024-09-03,2024-09-14,2024-09-17,Jeddah,Saudi Arabia,Jeddah,Saudi Arabia,Aramex,Rail,2325.3,9.12,5574.83,127.81,3,Delivered,0,0
SHP00037,PO00398,2024-07-14,2024-07-22,2024-07-24,Istanbul,Turkey,Madinah,Saudi Arabia,FedEx,Express Courier,1327.9,5.28,2648.33,171.7,3,Delivered,0,0
SHP00038,PO00309,2024-06-06,2024-06-19,2024-06-19,Seoul,South Korea,Jeddah,Saudi Arabia,NAQEL Express,Sea Freight,2270.0,11.7,1838.88,86.04,4,Customs Hold,0,1
SHP00039,PO00355,2024-03-13,2024-03-19,2024-03-24,Manama,Bahrain,Madinah,Saudi Arabia,NAQEL Express,Express Courier,1600.2,10.11,3257.42,242.9,7,In Transit,0,0
SHP00040,PO01584,2024-10-02,2024-10-12,2024-10-15,Shanghai,China,Dammam,Saudi Arabia,DB Schenker,Express Courier,3578.7,20.14,4957.77,155.75,7,In Transit,0,1
SHP00041,PO01971,2024-08-23,2024-09-06,2024-09-06,Mumbai,India,Jeddah,Saudi Arabia,DB Schenker,Sea Freight,1362.4,7.57,3945.16,192.53,7,Delivered,0,0
SHP00042,PO00410,2024-07-21,2024-07-25,2024-07-25,Munich,Germany,Dammam,Saudi Arabia,FedEx,Air Freight,344.0,1.29,850.34,49.83,0,Delivered,0,0
SHP00043,PO00838,2024-09-06,2024-09-19,2024-09-19,Amman,Jordan,Dammam,Saudi Arabia,DB Schenker,Road Transport,1749.9,6.86,5068.54,202.8,6,Delivered,0,0
SHP00044,PO00411,2024-01-13,2024-01-28,2024-01-28,Kuala Lumpur,Malaysia,Madinah,Saudi Arabia,Maersk Line,Sea Freight,1338.1,8.59,4012.76,257.67,1,Delivered,0,0
SHP00045,PO01544,2024-05-27,2024-06-11,2024-06-11,Istanbul,Turkey,Madinah,Saudi Arabia,Agility Logistics,Road Transport,4968.4,29.69,3748.69,274.42,3,In Transit,0,1
SHP00046,PO00823,2024-09-02,2024-09-13,2024-09-13,Dammam,Saudi Arabia,Dubai,UAE,Agility Logistics,Sea Freight,2578.1,8.51,3921.05,192.96,0,Delivered,0,0
SHP00047,PO00819,2023-10-01,2023-10-20,2023-10-20,Munich,Germany,Madinah,Saudi Arabia,Saudi Post Logistics,Air Freight,1875.9,8.58,3753.67,159.51,1,Delivered,0,0
SHP00048,PO00475,2024-01-31,2024-02-20,2024-02-20,Istanbul,Turkey,Riyadh,Saudi Arabia,DB Schenker,Sea Freight,1612.0,5.08,3548.05,203.62,6,Delivered,0,0
SHP00049,PO00727,2024-06-13,2024-06-17,2024-06-17,Shanghai,China,Riyadh,Saudi Arabia,DB Schenker,Rail,1572.3,4.86,1624.24,90.06,1,Delivered,0,0
SHP00050,PO00344,2023-03-24,2023-04-04,2023-04-04,Munich,Germany,Dammam,Saudi Arabia,FedEx,Road Transport,3048.3,14.77,1651.32,121.92,2,Customs Hold,0,0
SHP00051,PO01322,2024-01-16,2024-01-20,2024-01-23,Dubai,UAE,Jeddah,Saudi Arabia,Agility Logistics,Rail,1585.0,4.9,2761.47,105.34,3,Delivered,0,0
SHP00052,PO01036,2023-07-26,2023-07-28,2023-07-28,Seoul,South Korea,Madinah,Saudi Arabia,FedEx,Road Transport,4508.5,13.1,10960.68,570.73,1,Delivered,1,1
SHP00053,PO01589,2024-01-26,2024-02-17,2024-02-17,Cairo,Egypt,Jubail,Saudi Arabia,Saudi Post Logistics,Road Transport,4390.3,14.1,2830.49,154.66,4,In Transit,0,1
SHP00054,PO01878,2024-02-21,2024-03-06,2024-03-08,Munich,Germany,Jeddah,Saudi Arabia,DHL Global,Rail,2330.5,7.73,2201.24,115.09,1,Delivered,0,0
SHP00055,PO01172,2024-09-13,2024-10-07,2024-10-07,Seoul,South Korea,Riyadh,Saudi Arabia,FedEx,Express Courier,371.9,1.84,544.07,19.34,2,Delivered,0,0
SHP00056,PO01795,2023-09-29,2023-10-15,2023-10-15,Riyadh,Saudi Arabia,Dammam,Saudi Arabia,Maersk Line,Express Courier,3690.8,21.67,2429.6,94.42,7,Customs Hold,0,1
SHP00057,PO00606,2023-09-16,2023-09-20,2023-09-20,Munich,Germany,Madinah,Saudi Arabia,Saudi Post Logistics,Road Transport,1019.1,6.34,669.48,22.37,3,Delivered,0,0
SHP00058,PO00904,2024-12-17,2025-01-09,2025-01-12,Mumbai,India,Jubail,Saudi Arabia,Agility Logistics,Road Transport,3088.9,14.67,7475.55,292.94,6,In Transit,0,0
SHP00059,PO01639,2024-10-18,2024-10-29,2024-10-29,Shanghai,China,Dammam,Saudi Arabia,Aramex,Express Courier,2975.5,16.69,8470.95,605.34,4,Delivered,0,0
SHP00060,PO00169,2023-07-09,2023-07-11,2023-07-15,Seoul,South Korea,Jubail,Saudi Arabia,Agility Logistics,Rail,3465.6,20.55,2242.88,146.29,2,Delivered,0,1
SHP00061,PO00253,2023-12-11,2023-12-17,2023-12-17,Kuala Lumpur,Malaysia,Dubai,UAE,Aramex,Air Freight,3450.7,12.48,6032.01,456.46,6,Delivered,0,1
SHP00062,PO01165,2023-08-29,2023-08-31,2023-08-31,Dammam,Saudi Arabia,Dubai,UAE,NAQEL Express,Express Courier,4008.2,13.74,9476.94,195.86,3,Delivered,0,0
SHP00063,PO01919,2023-12-06,2023-12-23,2023-12-23,Milan,Italy,Madinah,Saudi Arabia,NAQEL Express,Sea Freight,3532.1,19.45,2035.42,157.97,7,Customs Hold,0,0
SHP00064,PO01011,2023-06-22,2023-07-02,2023-07-02,Manama,Bahrain,Madinah,Saudi Arabia,DHL Global,Air Freight,3069.8,18.31,4103.38,303.89,0,Delivered,1,1
SHP00065,PO01645,2023-11-27,2023-12-21,2023-12-30,Muscat,Oman,Madinah,Saudi Arabia,Agility Logistics,Sea Freight,4039.8,25.44,7599.05,231.09,2,Delivered,0,0
SHP00066,PO00616,2024-05-17,2024-06-02,2024-06-11,Shanghai,China,Dubai,UAE,Saudi Post Logistics,Sea Freight,3604.2,23.3,9646.86,560.23,5,Delivered,1,0
SHP00067,PO00073,2024-11-21,2024-12-03,2024-12-03,Amman,Jordan,Riyadh,Saudi Arabia,Aramex,Air Freight,2598.4,10.46,4603.45,233.06,6,Delivered,0,1
SHP00068,PO01257,2024-12-19,2024-12-23,2024-12-24,Dammam,Saudi Arabia,Jubail,Saudi Arabia,Maersk Line,Rail,3253.4,9.95,2749.55,152.59,1,Delayed,0,1
SHP00069,PO01139,2024-09-25,2024-10-05,2024-10-05,Jeddah,Saudi Arabia,Dubai,UAE,NAQEL Express,Sea Freight,3780.6,13.84,3915.94,82.24,5,Delivered,0,0
SHP00070,PO01068,2023-11-07,2023-12-02,2023-12-02,Riyadh,Saudi Arabia,Jubail,Saudi Arabia,DB Schenker,Road Transport,413.4,1.41,332.82,15.83,0,Delayed,0,0
SHP00071,PO01149,2024-09-18,2024-10-01,2024-10-01,Amman,Jordan,Jeddah,Saudi Arabia,FedEx,Sea Freight,4109.4,19.0,4325.79,257.17,6,Delivered,0,0
SHP00072,PO01046,2024-08-15,2024-09-06,2024-09-09,Kuala Lumpur,Malaysia,Jubail,Saudi Arabia,Saudi Post Logistics,Rail,3459.4,19.23,9434.81,396.77,2,Customs Hold,0,1
SHP00073,PO01469,2023-09-16,2023-09-21,2023-09-21,Munich,Germany,Jubail,Saudi Arabia,Saudi Post Logistics,Air Freight,256.6,0.78,458.18,20.9,4,Delivered,0,0
SHP00074,PO00839,2024-08-27,2024-09-14,2024-09-22,Shanghai,China,Madinah,Saudi Arabia,DB Schenker,Road Transport,4018.5,20.74,11789.94,755.07,5,In Transit,0,0
SHP00075,PO00474,2024-04-13,2024-04-17,2024-04-19,Kuala Lumpur,Malaysia,Dammam,Saudi Arabia,Saudi Post Logistics,Express Courier,3161.1,9.44,7112.63,350.74,7,Delayed,0,0
SHP00076,PO01446,2024-08-20,2024-09-07,2024-09-09,Seoul,South Korea,Madinah,Saudi Arabia,Aramex,Rail,2246.6,7.44,5835.71,344.98,7,Delivered,0,0
SHP00077,PO00833,2024-02-08,2024-02-12,2024-02-12,Jeddah,Saudi Arabia,Dammam,Saudi Arabia,DB Schenker,Sea Freight,3076.3,12.92,6143.77,210.45,0,Customs Hold,0,1
SHP00078,PO00719,2024-07-04,2024-07-11,2024-07-11,Muscat,Oman,Madinah,Saudi Arabia,FedEx,Sea Freight,475.0,1.6,921.03,54.46,2,Delivered,0,0
SHP00079,PO00576,2023-09-03,2023-09-14,2023-09-14,Manama,Bahrain,Jubail,Saudi Arabia,Agility Logistics,Rail,2788.8,10.58,5019.14,176.89,0,Delayed,0,1
SHP00080,PO01989,2023-05-01,2023-05-03,2023-05-08,Cairo,Egypt,Riyadh,Saudi Arabia,Maersk Line,Sea Freight,4200.6,19.38,4401.95,285.53,5,In Transit,0,0
SHP00081,PO01530,2023-01-13,2023-01-26,2023-01-26,Jeddah,Saudi Arabia,Dubai,UAE,Maersk Line,Road Transport,1263.0,6.98,1872.24,106.54,6,Delivered,0,0
SHP00082,PO00826,2023-08-20,2023-09-06,2023-09-06,Munich,Germany,Madinah,Saudi Arabia,FedEx,Rail,4629.6,14.44,5774.41,314.15,1,Delivered,0,0
SHP00083,PO00715,2024-06-09,2024-07-04,2024-07-04,Amman,Jordan,Dubai,UAE,Saudi Post Logistics,Sea Freight,895.0,5.36,2419.28,100.27,5,In Transit,0,0
SHP00084,PO01345,2024-02-25,2024-03-05,2024-03-05,Manama,Bahrain,Jeddah,Saudi Arabia,Saudi Post Logistics,Road Transport,2767.7,16.49,2482.04,76.8,4,Delivered,0,0
SHP00085,PO01314,2023-09-02,2023-09-13,2023-09-13,Shanghai,China,Jubail,Saudi Arabia,Maersk Line,Rail,4159.2,24.99,10203.31,548.47,1,Delivered,0,0
SHP00086,PO00759,2023-01-17,2023-02-06,2023-02-06,Manama,Bahrain,Riyadh,Saudi Arabia,DHL Global,Road Transport,3039.9,16.61,3085.56,80.28,4,Delivered,0,0
SHP00087,PO01557,2024-06-03,2024-06-25,2024-06-25,Shanghai,China,Jeddah,Saudi Arabia,DB Schenker,Rail,2252.5,10.23,5519.37,303.24,0,Delivered,0,0
SHP00088,PO01255,2023-02-04,2023-02-26,2023-03-03,Milan,Italy,Dammam,Saudi Arabia,Agility Logistics,Express Courier,2380.2,9.58,3191.17,142.43,2,Delayed,0,1
SHP00089,PO00545,2023-03-22,2023-04-08,2023-04-08,Riyadh,Saudi Arabia,Jubail,Saudi Arabia,DHL Global,Road Transport,1092.0,4.06,1819.88,144.95,0,Delivered,0,0
SHP00090,PO00947,2023-11-30,2023-12-11,2023-12-11,Shanghai,China,Dubai,UAE,DHL Global,Road Transport,3486.5,14.13,3250.71,248.86,7,Delayed,0,0
SHP00091,PO00458,2024-12-25,2025-01-16,2025-01-16,Seoul,South Korea,Dammam,Saudi Arabia,DHL Global,Rail,2693.1,8.28,3865.22,126.93,5,Delivered,0,0
SHP00092,PO01980,2024-02-01,2024-02-20,2024-02-21,Amman,Jordan,Dammam,Saudi Arabia,Saudi Post Logistics,Rail,3746.8,17.82,6442.61,487.56,1,Delivered,0,0
SHP00093,PO01839,2023-01-15,2023-02-06,2023-02-09,Seoul,South Korea,Jubail,Saudi Arabia,Agility Logistics,Air Freight,1229.8,4.12,2629.32,204.4,4,Delivered,0,0
SHP00094,PO00516,2024-03-17,2024-04-02,2024-04-02,Seoul,South Korea,Dubai,UAE,NAQEL Express,Express Courier,2471.2,7.92,6304.74,218.99,4,Delivered,0,0
SHP00095,PO00697,2024-11-29,2024-12-23,2024-12-30,Cairo,Egypt,Riyadh,Saudi Arabia,Saudi Post Logistics,Rail,233.5,0.96,228.22,15.86,1,Delivered,0,0
SHP00096,PO00064,2023-08-27,2023-09-01,2023-09-01,Mumbai,India,Madinah,Saudi Arabia,Agility Logistics,Rail,2885.3,10.33,5587.56,275.65,6,In Transit,0,0
SHP00097,PO00643,2023-07-14,2023-07-28,2023-07-28,Seoul,South Korea,Madinah,Saudi Arabia,Saudi Post Logistics,Express Courier,4061.6,20.59,7612.22,513.73,6,Delivered,0,0
SHP00098,PO00406,2024-02-03,2024-02-12,2024-02-14,Dubai,UAE,Dubai,UAE,Agility Logistics,Sea Freight,2470.8,10.26,2055.95,107.53,4,In Transit,1,0
SHP00099,PO00708,2023-07-31,2023-08-21,2023-08-21,Dammam,Saudi Arabia,Riyadh,Saudi Arabia,Maersk Line,Express Courier,2367.1,7.36,2159.79,125.52,3,Delivered,0,1
SHP00100,PO00643,2023-07-18,2023-08-02,2023-08-04,Seoul,South Korea,Dubai,UAE,DHL Global,Road Transport,2624.8,16.99,5929.38,422.46,0,Delivered,0,0
SHP00101,PO00468,2024-10-17,2024-10-30,2024-10-30,Seoul,South Korea,Dammam,Saudi Arabia,Maersk Line,Express Courier,911.8,2.85,869.57,69.13,6,Delivered,0,1
SHP00102,PO01938,2023-05-29,2023-06-04,2023-06-07,Seoul,South Korea,Dammam,Saudi Arabia,Agility Logistics,Rail,4697.9,27.52,11865.11,715.86,3,In Transit,0,0
SHP00103,PO01347,2023-09-18,2023-09-25,2023-09-29,Milan,Italy,Jeddah,Saudi Arabia,NAQEL Express,Express Courier,2859.7,8.27,7455.97,511.48,4,Delivered,0,0
SHP00104,PO01974,2023-11-07,2023-11-21,2023-11-21,Cairo,Egypt,Dammam,Saudi Arabia,Saudi Post Logistics,Road Transport,1436.8,4.29,1111.28,28.73,5,Delivered,0,0
SHP00105,PO01047,2023-12-05,2023-12-11,2023-12-11,Milan,Italy,Riyadh,Saudi Arabia,DHL Global,Express Courier,1121.1,3.53,2584.91,131.26,1,Delivered,0,1
SHP00106,PO01924,2024-06-05,2024-06-19,2024-06-19,Dammam,Saudi Arabia,Riyadh,Saudi Arabia,DHL Global,Road Transport,3326.3,16.73,3683.33,132.67,0,Customs Hold,0,0
SHP00107,PO01110,2023-02-19,2023-02-21,2023-02-21,Dammam,Saudi Arabia,Jeddah,Saudi Arabia,Agility Logistics,Road Transport,2370.1,9.61,5524.2,113.99,6,Delivered,0,0
SHP00108,PO01114,2023-02-12,2023-02-26,2023-02-26,Milan,Italy,Jeddah,Saudi Arabia,Maersk Line,Rail,2134.3,8.66,5540.31,322.39,2,Delayed,0,0
SHP00109,PO01118,2024-02-29,2024-03-14,2024-03-17,Munich,Germany,Jubail,Saudi Arabia,DHL Global,Express Courier,1980.2,7.48,1211.47,88.63,2,Delivered,0,0
SHP00110,PO00821,2024-06-03,2024-06-18,2024-06-18,Milan,Italy,Dammam,Saudi Arabia,DHL Global,Rail,233.2,0.79,515.77,17.45,0,Delivered,0,0
SHP00111,PO01166,2023-01-25,2023-02-19,2023-02-19,Munich,Germany,Riyadh,Saudi Arabia,Maersk Line,Air Freight,1526.9,7.03,3290.48,88.41,7,Delivered,0,0
SHP00112,PO01769,2024-12-12,2025-01-01,2025-01-01,Jeddah,Saudi Arabia,Dammam,Saudi Arabia,Aramex,Express Courier,1986.7,5.83,3289.83,100.37,5,Customs Hold,0,0
SHP00113,PO01846,2024-12-02,2024-12-14,2024-12-15,Amman,Jordan,Dubai,UAE,Aramex,Air Freight,609.8,2.31,1721.5,37.02,7,Delivered,0,0
SHP00114,PO01772,2023-03-20,2023-03-28,2023-03-28,Milan,Italy,Jubail,Saudi Arabia,DB Schenker,Air Freight,3428.1,12.5,2422.66,107.8,7,Delivered,0,1
SHP00115,PO00984,2023-09-02,2023-09-12,2023-09-12,Milan,Italy,Dammam,Saudi Arabia,Saudi Post Logistics,Sea Freight,178.7,0.98,125.75,2.87,1,Delivered,0,0
SHP00116,PO01171,2023-07-08,2023-07-26,2023-07-29,Milan,Italy,Dammam,Saudi Arabia,Maersk Line,Air Freight,1727.4,5.73,3467.32,90.14,7,Delivered,0,0
SHP00117,PO00067,2024-08-20,2024-09-07,2024-09-09,Istanbul,Turkey,Dammam,Saudi Arabia,DB Schenker,Sea Freight,691.4,2.08,1553.31,31.51,1,Delayed,0,1
SHP00118,PO01559,2024-08-17,2024-09-06,2024-09-06,Shanghai,China,Madinah,Saudi Arabia,Agility Logistics,Express Courier,1331.4,4.42,2175.33,152.19,7,Delivered,0,1
SHP00119,PO00020,2024-03-25,2024-04-03,2024-04-09,Manama,Bahrain,Dubai,UAE,NAQEL Express,Air Freight,4221.7,15.2,7096.88,242.57,3,Delivered,0,0
SHP00120,PO01533,2024-07-27,2024-08-08,2024-08-14,Kuala Lumpur,Malaysia,Madinah,Saudi Arabia,Saudi Post Logistics,Sea Freight,3908.4,18.57,4698.93,244.34,0,Delivered,0,1
SHP00121,PO01486,2023-08-07,2023-08-26,2023-08-26,Dammam,Saudi Arabia,Jeddah,Saudi Arabia,Saudi Post Logistics,Road Transport,852.9,5.32,1693.76,120.13,5,In Transit,0,0
SHP00122,PO00978,2024-06-14,2024-06-19,2024-06-19,Muscat,Oman,Dubai,UAE,NAQEL Express,Rail,1568.0,6.54,1920.53,124.05,6,Delivered,0,0
SHP00123,PO00934,2024-11-09,2024-11-23,2024-11-23,Milan,Italy,Jeddah,Saudi Arabia,Saudi Post Logistics,Road Transport,4719.2,16.5,11304.98,619.49,4,Delayed,0,1
SHP00124,PO01519,2023-03-27,2023-04-11,2023-04-11,Muscat,Oman,Dubai,UAE,Aramex,Rail,385.0,1.52,1089.06,72.87,7,Delivered,0,0
SHP00125,PO00903,2024-02-29,2024-03-21,2024-03-21,Amman,Jordan,Dubai,UAE,FedEx,Express Courier,2846.8,9.04,2450.49,81.77,7,Delivered,0,1
SHP00126,PO01890,2023-06-04,2023-06-27,2023-07-01,Dammam,Saudi Arabia,Dubai,UAE,FedEx,Road Transport,659.9,2.53,1021.93,31.93,0,Delivered,1,0
SHP00127,PO00344,2023-03-22,2023-03-29,2023-03-30,Munich,Germany,Dammam,Saudi Arabia,FedEx,Sea Freight,3949.6,20.45,7794.4,263.35,4,Delivered,0,1
SHP00128,PO01822,2024-04-21,2024-05-11,2024-05-11,Mumbai,India,Riyadh,Saudi Arabia,Maersk Line,Rail,3079.3,10.96,3007.93,139.14,6,Delivered,0,0
SHP00129,PO00280,2024-10-27,2024-11-05,2024-11-07,Dammam,Saudi Arabia,Jubail,Saudi Arabia,Maersk Line,Rail,4314.4,21.26,7885.24,549.46,5,Delivered,0,1
SHP00130,PO00503,2023-03-25,2023-04-14,2023-04-17,Riyadh,Saudi Arabia,Riyadh,Saudi Arabia,Maersk Line,Road Transport,875.3,3.98,1118.24,31.97,0,Delivered,1,0
SHP00131,PO00620,2024-10-01,2024-10-13,2024-10-13,Dubai,UAE,Jeddah,Saudi Arabia,Agility Logistics,Express Courier,2673.7,7.82,4975.46,107.69,2,Delivered,0,1
SHP00132,PO00346,2024-08-12,2024-08-16,2024-08-20,Manama,Bahrain,Riyadh,Saudi Arabia,DHL Global,Express Courier,4845.8,14.65,9209.23,717.1,3,Delayed,0,0
SHP00133,PO01106,2024-05-15,2024-06-02,2024-06-07,Manama,Bahrain,Dubai,UAE,NAQEL Express,Air Freight,4140.5,14.28,4674.61,137.67,4,Delivered,0,0
SHP00134,PO01675,2023-03-14,2023-04-06,2023-04-06,Riyadh,Saudi Arabia,Riyadh,Saudi Arabia,DHL Global,Rail,91.3,0.48,87.36,4.67,0,Delivered,0,0
SHP00135,PO00085,2024-08-15,2024-09-01,2024-09-03,Dubai,UAE,Jeddah,Saudi Arabia,Aramex,Sea Freight,778.3,4.28,1757.61,114.47,1,In Transit,0,0
SHP00136,PO01940,2023-01-22,2023-02-05,2023-02-05,Dubai,UAE,Dammam,Saudi Arabia,Aramex,Sea Freight,325.0,0.99,492.2,13.73,7,Delivered,0,0
SHP00137,PO00729,2023-12-27,2024-01-19,2024-01-19,Shanghai,China,Jeddah,Saudi Arabia,DB Schenker,Air Freight,4134.9,21.1,9523.82,222.13,5,Delivered,0,1
SHP00138,PO00387,2024-10-24,2024-11-13,2024-11-21,Shanghai,China,Jeddah,Saudi Arabia,Aramex,Air Freight,3459.5,17.9,6356.04,372.82,6,Delivered,0,0
SHP00139,PO00913,2023-03-25,2023-04-03,2023-04-03,Cairo,Egypt,Jubail,Saudi Arabia,DB Schenker,Express Courier,1744.1,6.0,3579.59,170.45,1,Delivered,0,0
SHP00140,PO01017,2023-09-10,2023-10-03,2023-10-03,Seoul,South Korea,Jubail,Saudi Arabia,Saudi Post Logistics,Sea Freight,2878.7,18.08,7544.97,220.95,5,Delivered,0,0
